,year,month,day,departure time,scheduled departure time,departure delay,arrival time,scheduled arrival time,arrival delay,carrier,flight,tailnum,origin,dest,air time,distance
169305,2013,4,5,957.0,morning,102.0,1255.0,1119,96.0,B6,181,N805JB,JFK,SAN,324.0,2446
105274,2013,12,25,702.0,morning,3.0,918.0,941,-23.0,DL,1547,N351NW,LGA,ATL,117.0,762
325467,2013,9,18,1754.0,evening,-6.0,2031.0,2103,-32.0,B6,263,N661JB,JFK,SEA,316.0,2422
127127,2013,2,19,726.0,morning,-4.0,1053.0,1036,17.0,B6,201,N506JB,JFK,FLL,156.0,1069
144293,2013,3,9,1646.0,afternoon,-6.0,1900.0,1920,-20.0,DL,1715,N319US,LGA,MSY,158.0,1183
266473,2013,7,18,644.0,morning,-1.0,749.0,752,-3.0,B6,318,N298JB,JFK,BOS,39.0,187
317851,2013,9,10,1523.0,afternoon,18.0,1753.0,1753,0.0,UA,316,N515UA,EWR,TPA,130.0,997
217427,2013,5,27,701.0,morning,1.0,903.0,928,-25.0,DL,1547,N940DL,LGA,ATL,104.0,762
61977,2013,11,7,1559.0,afternoon,0.0,1733.0,1746,-13.0,B6,1105,N323JB,JFK,ORD,122.0,740
92263,2013,12,10,2146.0,evening,17.0,100.0,32,28.0,UA,1416,N17244,EWR,IAH,236.0,1400
278048,2013,7,30,759.0,morning,-1.0,1021.0,1021,0.0,B6,677,N193JB,JFK,JAX,108.0,828
235128,2013,6,14,1854.0,evening,-6.0,2347.0,2249,58.0,DL,1465,N705TW,JFK,SFO,369.0,2586
162525,2013,3,29,653.0,morning,-7.0,801.0,837,-36.0,UA,664,N403UA,EWR,ORD,109.0,719
206402,2013,5,14,2233.0,evening,-12.0,2341.0,2,-21.0,B6,608,N328JB,JFK,PWM,46.0,273
121498,2013,2,12,1853.0,evening,-7.0,2218.0,2301,-43.0,DL,1465,N727TW,JFK,SFO,346.0,2586
252039,2013,7,2,1630.0,afternoon,5.0,1840.0,1805,35.0,DL,402,N328NB,JFK,BOS,36.0,187
59235,2013,11,4,1806.0,evening,6.0,2034.0,2037,-3.0,DL,926,N990AT,EWR,ATL,112.0,746
213677,2013,5,22,1814.0,evening,14.0,2150.0,2115,35.0,DL,17,N195DN,JFK,LAX,331.0,2475
323381,2013,9,16,1544.0,afternoon,-1.0,1755.0,1805,-10.0,DL,1942,N330NW,EWR,ATL,105.0,746
127981,2013,2,20,601.0,morning,1.0,916.0,920,-4.0,UA,1491,N29124,JFK,LAX,345.0,2475
193391,2013,4,30,2128.0,evening,-2.0,2246.0,2303,-17.0,B6,104,N178JB,JFK,BUF,53.0,301
99779,2013,12,18,2111.0,evening,26.0,2349.0,2346,3.0,UA,471,N819UA,EWR,TPA,136.0,997
139694,2013,3,4,1906.0,evening,-4.0,2221.0,2228,-7.0,B6,87,N556JB,JFK,SLC,280.0,1990
259255,2013,7,10,1637.0,afternoon,54.0,2157.0,1909,168.0,DL,31,N382DA,JFK,SLC,298.0,1990
132485,2013,2,25,614.0,morning,-6.0,738.0,757,-19.0,B6,905,N304JB,JFK,ORD,127.0,740
279877,2013,8,1,22.0,evening,156.0,255.0,30,145.0,B6,1183,N589JB,JFK,MCO,127.0,944
29472,2013,10,3,1445.0,afternoon,0.0,1757.0,1750,7.0,B6,1171,N559JB,LGA,FLL,149.0,1076
184055,2013,4,21,707.0,morning,-3.0,959.0,1002,-3.0,UA,1117,N37281,EWR,TPA,152.0,997
87027,2013,12,4,2053.0,evening,-6.0,2231.0,2244,-13.0,B6,105,N216JB,JFK,ORD,128.0,740
85124,2013,12,2,2143.0,evening,-2.0,29.0,33,-4.0,B6,705,N307JB,EWR,FLL,145.0,1065
92031,2013,12,10,1643.0,afternoon,103.0,1956.0,1806,110.0,DL,2181,N931DL,LGA,MCO,155.0,950
107776,2013,12,27,2036.0,evening,7.0,2340.0,2324,16.0,B6,153,N621JB,JFK,PBI,145.0,1028
88268,2013,12,6,859.0,morning,60.0,1128.0,1037,51.0,DL,2047,N649DL,LGA,ATL,111.0,762
91826,2013,12,10,1113.0,morning,73.0,1450.0,1307,103.0,UA,1183,N76529,EWR,RSW,173.0,1068
311993,2013,9,4,821.0,morning,-9.0,1011.0,1030,-19.0,DL,2119,N310NW,LGA,MSP,138.0,1020
50235,2013,10,25,1821.0,evening,-9.0,2134.0,2157,-23.0,UA,389,N546UA,JFK,SFO,346.0,2586
113186,2013,2,3,1229.0,afternoon,19.0,1330.0,1323,7.0,B6,42,N190JB,JFK,SYR,46.0,209
322040,2013,9,15,907.0,morning,7.0,1132.0,1145,-13.0,UA,578,N491UA,EWR,LAS,307.0,2227
2286,2013,1,3,1503.0,afternoon,162.0,1803.0,1555,128.0,UA,551,N835UA,EWR,SFO,320.0,2565
246973,2013,6,27,849.0,morning,-1.0,1222.0,1251,-29.0,DL,301,N3758Y,JFK,SJU,190.0,1598
302410,2013,8,24,1440.0,afternoon,-1.0,1723.0,1752,-29.0,DL,1779,N330NW,LGA,FLL,142.0,1076
125909,2013,2,17,1916.0,evening,2.0,2241.0,2226,15.0,UA,1175,N37422,EWR,SEA,339.0,2402
189851,2013,4,27,642.0,morning,2.0,845.0,914,-29.0,UA,848,N482UA,EWR,PHX,281.0,2133
67137,2013,11,13,841.0,morning,-4.0,1143.0,1211,-28.0,UA,1581,N38459,EWR,SEA,329.0,2402
278217,2013,7,30,1056.0,morning,-9.0,1308.0,1314,-6.0,DL,1031,N326NB,LGA,DTW,87.0,502
129207,2013,2,21,1040.0,morning,0.0,1344.0,1338,6.0,UA,65,N34455,EWR,SAN,349.0,2425
334510,2013,9,28,1248.0,afternoon,3.0,1534.0,1600,-26.0,UA,1663,N75432,EWR,SFO,326.0,2565
96623,2013,12,15,1716.0,afternoon,4.0,1959.0,2017,-18.0,UA,491,N854UA,EWR,DFW,204.0,1372
196072,2013,5,3,1743.0,afternoon,-2.0,1936.0,2021,-45.0,DL,884,N352NW,LGA,DEN,206.0,1620
312680,2013,9,4,2005.0,evening,-10.0,2119.0,2144,-25.0,B6,702,N266JB,JFK,BUF,55.0,301
322844,2013,9,16,654.0,morning,-6.0,936.0,945,-9.0,DL,2285,N338NB,LGA,MCO,127.0,950
273184,2013,7,25,621.0,morning,-9.0,922.0,923,-1.0,UA,712,N502UA,JFK,LAX,314.0,2475
156094,2013,3,22,842.0,morning,-3.0,1141.0,1153,-12.0,UA,1296,N76288,EWR,PBI,154.0,1023
2184,2013,1,3,1306.0,afternoon,4.0,1358.0,1412,-14.0,UA,1140,N18220,EWR,BOS,35.0,200
127725,2013,2,19,1817.0,afternoon,82.0,2208.0,2029,99.0,DL,706,N334NB,JFK,AUS,229.0,1521
46703,2013,10,22,811.0,morning,1.0,1102.0,1108,-6.0,DL,857,N376DA,JFK,SAN,327.0,2446
120543,2013,2,11,2003.0,afternoon,125.0,2124.0,1936,108.0,UA,1139,N77295,EWR,ORD,119.0,719
65630,2013,11,11,1626.0,afternoon,-4.0,1902.0,1923,-21.0,UA,1593,N37255,EWR,MCO,136.0,937
61055,2013,11,6,1614.0,afternoon,-6.0,1825.0,1835,-10.0,DL,1619,N912DL,LGA,MSP,162.0,1020
